step,input,v,v_th_eff,spike
0,1.3,0.0634018,1,0
1,1.3,0.123711,1,0
2,1.3,0.18108,1,0
3,1.3,0.23565,1,0
4,1.3,0.287559,1,0
5,1.3,0.336936,1,0
6,1.3,0.383906,1,0
7,1.3,0.428584,1,0
8,1.3,0.471084,1,0
9,1.3,0.51151,1,0
10,1.3,0.549965,1,0
11,1.3,0.586545,1,0
12,1.3,0.621341,1,0
13,1.3,0.654439,1,0
14,1.3,0.685924,1,0
15,1.3,0.715873,1,0
16,1.3,0.744361,1,0
17,1.3,0.77146,1,0
18,1.3,0.797237,1,0
19,1.3,0.821757,1,0
20,1.3,0.845081,1,0
21,1.3,0.867268,1,0
22,1.3,0.888372,1,0
23,1.3,0.908448,1,0
24,1.3,0.927544,1,0
25,1.3,0.945709,1,0
26,1.3,0.962988,1,0
27,1.3,0.979424,1,0
28,1.3,0.995059,1,0
29,1.3,0.00993109,1,1000
30,1.3,0.00993109,1.39933,0
31,1.3,0.00993109,1.39933,0
32,1.3,0.00993109,1.39933,0
33,1.3,0.0728486,1.39844,0
34,1.3,0.132697,1.39711,0
35,1.3,0.189628,1.39579,0
36,1.3,0.243781,1.39447,0
37,1.3,0.295294,1.39316,0
38,1.3,0.344294,1.39185,0
39,1.3,0.390904,1.39055,0
40,1.3,0.435241,1.38925,0
41,1.3,0.477416,1.38795,0
42,1.3,0.517534,1.38666,0
43,1.3,0.555695,1.38538,0
44,1.3,0.591995,1.38409,0
45,1.3,0.626525,1.38282,0
46,1.3,0.659371,1.38154,0
47,1.3,0.690615,1.38027,0
48,1.3,0.720335,1.37901,0
49,1.3,0.748606,1.37775,0
50,1.3,0.775497,1.37649,0
51,1.3,0.801078,1.37524,0
52,1.3,0.82541,1.37399,0
53,1.3,0.848557,1.37274,0
54,1.3,0.870574,1.3715,0
55,1.3,0.891517,1.37027,0
56,1.3,0.911439,1.36903,0
57,1.3,0.930389,1.36781,0
58,1.3,0.948416,1.36658,0
59,1.3,0.965562,1.36536,0
60,1.3,0.981873,1.36415,0
61,1.3,0.997388,1.36293,0
62,1.3,1.01215,1.36173,0
63,1.3,1.02619,1.36052,0
64,1.3,1.03954,1.35932,0
65,1.3,1.05224,1.35813,0
66,1.3,1.06433,1.35694,0
67,1.3,1.07582,1.35575,0
68,1.3,1.08675,1.35456,0
69,1.3,1.09715,1.35338,0
70,1.3,1.10705,1.35221,0
71,1.3,1.11646,1.35104,0
72,1.3,1.12541,1.34987,0
73,1.3,1.13392,1.3487,0
